Demand Cluster,Difficulty Cluster,Growth Cluster,ID,Lct Id,Lightcast Skill,Resilience Cluster,Skill Category,Skill Major Category,Skill MajorCategory Code,Skill MajorCategory Code (group),Skill Subcategory Name,Skill Super Category,Value Cluster,Xskill Category Name,Complexity,Complexity Norm,Demand,Demand Norm,Difficulty,Difficulty Norm,Education,Education Norm,Experience,Experience Norm,Growth,Growth Norm,Resilience,Resilience Norm,Stability,Stability Norm,Ubiquity,Ubiquity Norm,Value,Value Norm,SSG_Skill,SSG_ID
High Demand,Low Difficulty,High Growth,0,KS1226L6S9713QWBY5KK,quality auditing,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Quality Assurance and Control,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.457117503,0.323532419,3434.75,0.005445762,0.394456305,0.394456305,1.392182,0.441225464,4.617735,0.418611032,1.036822157,0.087556574,0.426957589,0.426957589,55,0.679012346,80.75,0.174902832,"$52,200 ",0.196983977,['audit frameworks'],['d77059bb5465a45dc2ca3cbb2caf41c7df2926d8845691dd25c8059c096d81ff']
High Demand,High Difficulty,High Growth,1,KS120RS69QPFBRSLFWQL,auditing standards,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Auditing,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.967738328,0.377366123,685.75,0.001080578,0.492094845,0.492094845,1.890462,0.60251871,5.23632,0.496399703,1.176382074,0.101367577,0.288262351,0.288262351,44,0.543209877,17,0.033314825,"$54,000 ",0.208294062,['auditing and assurance standards'],['2ad8194b6ff87e0b9a74baa93e16aa4b05328cc392f0fc5cc1d19ef5c5ede233']
High Demand,Low Difficulty,High Growth,2,KS120RN6FDTS9FLCH3T0,auditing,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Auditing,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",-0.627180948,0.20921706,152505.25,0.242157376,0.328656519,0.328656519,1.286455,0.407001631,4.229193,0.369750866,1.126087328,0.096390353,0.668404384,0.668404384,75,0.925925926,187,0.410882843,"$48,000 ",0.170593779,['auditor independence'],['6110c624171ad43320c5488c474bfe58efabae7d36a91474b51a218672a830a1']
High Demand,Low Difficulty,High Growth,3,ESB88E2ED75A260BBE95,engagement surveys,High Resilience,Human Resources,"Business, Finance, and Marketing",13,13,Employee Relations,Business,Low Value,Human Resources,0.232150436,0.299814603,941.5,0.001486687,0.438391956,0.438391956,1.696795,0.539828698,5.070382,0.475532569,1.207615827,0.104458503,0.317820689,0.317820689,46,0.567901235,32.5,0.067740144,"$54,000 ",0.208294062,['engagement completion and reporting'],['0e75ed50c07af8b3c103f40a7e771917f80290ca24ea787ed2859c6b12896690']
High Demand,Low Difficulty,High Growth,4,BGS982C52CA577AF0357,audit engagements,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Auditing,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.803229195,0.360022263,2317.25,0.003671265,0.456667485,0.456667485,1.962429,0.625814429,4.343822,0.384165761,1.087699547,0.092591456,0.313443834,0.313443834,47,0.580246914,23,0.046640755,"$49,200 ",0.178133836,"['engagement execution', 'internal audit engagement execution']","['463f916a025498974c52b71d7329bd3261d7d5b68661818eb759d27689ec0375', '1dae54d778f2111f645ed73ceea909fe7c50e1ec302534267274622cb6c76269']"
Low Demand,High Difficulty,High Growth,5,ES6B281FF517647036CF,customer engagement planning,Low Resilience,Marketing and Public Relations,"Business, Finance, and Marketing",13,13,Marketing Strategy and Techniques,Business,High Value,Marketing and Public Relations,1.835309112,0.468832329,119,0.000180626,0.517565496,0.517565496,2.010266,0.641299267,4.808219,0.44256489,1.946736839,0.17760273,0.175763122,0.175763122,26,0.320987654,15.75,0.03053859,"$76,800 ",0.351555137,['engagement planning'],['1e8f2b29b7f1ced5026cc23202a0ac818a4539302ad21af9894fcb2592a0062b']
High Demand,Low Difficulty,High Growth,6,KSKG9OA3NDST6929VROF,quality control,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Quality Assurance and Control,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",-1.060204286,0.163564299,33426.25,0.053069781,0.281761879,0.281761879,1.103081,0.347643464,3.945517,0.334077873,1.133384568,0.097112496,0.728844058,0.728844058,78,0.962962963,224.75,0.494725153,"$43,200 ",0.140433553,"['engagement quality control', 'quality control and assurance']","['db20563c79d385cd51c632929523b6b8b4e384a45e246fef4f48db6cb9da83a5', '5e780157dae18a5aeea3e909c3f1ce93abc571419f02ec69d54d4c31b8226d7c']"
Low Demand,High Difficulty,High Growth,7,ESE2AD74C56B2E8A57FA,engagement economics,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,1.261486106,0.408335348,88.5,0.000132194,0.495116253,0.495116253,1.908906,0.608489033,5.014652,0.468524376,1.149847614,0.098741697,0.183666824,0.183666824,28,0.345679012,11.75,0.021654636,"$78,000 ",0.359095193,['engagement review'],['a7a44ded403192a39827562e9b74fdb7824a1f395c70543af2130338c175185c']
High Demand,High Difficulty,Low Growth,8,KS120ZD60D0C13NZ0W00,benchmarking,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,0.560258657,0.334406379,7762.75,0.012318268,0.492883837,0.492883837,1.900942,0.605911086,5.569787,0.538334045,0.987365877,0.082662326,0.42739973,0.42739973,49,0.604938272,114.5,0.249861188,"$72,000 ",0.32139491,['benchmarking'],['3d119f7942924710c39964f3263fb2a9a008fc6ca7e34136b56aaa6627ae84e3']
High Demand,High Difficulty,High Growth,9,KS1218B5WWXNDNQTN9MP,business acumen,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Personal Attributes,Abilities,High Value,Physical and Inherent Abilities,0.16523248,0.29275958,24915.5,0.039555415,0.462919855,0.462919855,1.676518,0.533265033,5.763826,0.562734953,1.038838826,0.087756146,0.505425655,0.505425655,62,0.765432099,112.5,0.245419212,"$75,000 ",0.340245052,"['business acumen', 'business agility']","['9e50fcadcf496a5b2c96807c114a418a2a3d580e1e2e399e4f310f6df7a87ddc', '4de0e3aa45019ce5b3798e503073270af98e2cc1c89fda3afcc66796f3731a93']"
High Demand,High Difficulty,High Growth,10,KS1218H6P3XFT842HV3C,business continuity,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Continuity,Business,High Value,Business,1.171052589,0.398801128,5026.5,0.007973329,0.486853666,0.486853666,1.67929,0.534162329,5.484409,0.527597539,1.004073381,0.084315719,0.433000185,0.433000185,54,0.666666667,91.75,0.199333703,"$69,120 ",0.303298775,"['business continuity management', 'business continuity', 'flight disruptions and irregular operations management']","['0623233d3df75cb72e953aad36c629872ab734c6d42746ce51599941a8c93135', '6269f29a479126b0b23a5b7703d61301bc2d71a12f8e77ad4e1cfd1ac7c49162', 'e7758f7183b70d95dead5c52758d475075afa46cb7fd995aa0dc90ed5c6fa5fc']"
High Demand,Low Difficulty,High Growth,11,KS1270N6Z7WJQ5KVN0GG,new business development,High Resilience,Sales,Sales and Client/Customer Support,41,41,Sales Management,Sales and Support,High Value,Sales,0.291877038,0.306111456,4170,0.006613278,0.44128842,0.44128842,1.742067,0.554483245,4.972873,0.463270558,1.207706954,0.104467521,0.467651716,0.467651716,66,0.814814815,56.25,0.120488617,"$66,000 ",0.283694628,['business opportunities development'],['5ccd331c78bf876b276fd34d899de0b3420bbb6e52fb88476d49748de225393a']
High Demand,High Difficulty,Low Growth,12,KS1219D66K4ND82B243C,business transformation,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,1.452069706,0.428428186,2684.25,0.00425403,0.538449026,0.538449026,1.640753,0.521687901,6.578887,0.665230991,0.914341259,0.07543573,0.362370699,0.362370699,48,0.592592593,61.5,0.132148806,"$102,000 ",0.509896324,['business innovation and improvement'],['2f10fe4c4b98b9b93b218eb55d4a4ac9c7e7ea0321e8e773bfb0c73998be7468']
